,"('YearPredictionMSD', 'Time(s)')","('YearPredictionMSD', 'RMSE')",YearPredictionMSD,Time(s),"('Synthetic', 'Time(s)')","('Synthetic', 'RMSE')","('Higgs', 'Time(s)')","('Higgs', 'Accuracy')","('Cover Type', 'Time(s)')","('Cover Type', 'Accuracy')"
xgb-cpu-hist,,8.872168139545419,119.1213686466217,119.1213686466217,396.6023647785187,9.610244194415845,771.4719455242157,0.7472781818181818,539.7413256168365,0.8932041341445573
xgb-gpu-hist,,8.87754761893815,8.217231035232544,8.217231035232544,22.028048038482666,9.653305333421336,48.66206884384155,0.7472218181818182,71.50471591949463,0.8931869228849514
lightgbm-cpu,,8.867462349977632,55.12582802772522,55.12582802772522,207.29579663276672,9.73911654730656,521.1453549861908,0.7474227272727273,125.22007989883423,0.9223341910277704
cat-cpu,,8.967225832988355,63.947195053100586,63.947195053100586,210.9668333530426,5.679273479137469,1051.5567734241486,0.7406604545454546,170.40601682662964,0.8515700971575605
cat-gpu,,9.266964263316547,8.260401010513306,8.260401010513306,16.973275423049927,8.13047554393815,48.01763844490051,0.7406277272727273,N/A,N/A
